epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,278.597,1.39804,1.64594,1.32398,0.67016,0.36576,0.39413,0.25749,1.48346,1.63888,1.32095,0.000472955,0.000472955,0.000472955
2,542.767,1.40034,1.57783,1.31386,0.62944,0.35811,0.40033,0.27119,1.46219,1.72981,1.33105,0.000917962,0.000917962,0.000917962
3,804.364,1.41151,1.59927,1.31828,0.74911,0.36673,0.43888,0.29305,1.43021,1.5993,1.31521,0.00133153,0.00133153,0.00133153
4,1064.45,1.37313,1.55443,1.3013,0.65358,0.38326,0.42418,0.28589,1.40065,1.59552,1.3055,0.00128753,0.00128753,0.00128753
5,1324.37,1.3583,1.53053,1.29275,0.70671,0.37551,0.43604,0.29804,1.37969,1.5102,1.30796,0.00124037,0.00124037,0.00124037
6,1583.81,1.3323,1.48758,1.28479,0.6939,0.36684,0.42526,0.28385,1.39438,1.51469,1.25873,0.00119322,0.00119322,0.00119322
7,1843.03,1.32068,1.45557,1.26582,0.64801,0.43122,0.46337,0.3105,1.3781,1.47149,1.26271,0.00114606,0.00114606,0.00114606
8,2102.19,1.28717,1.41794,1.24949,0.6987,0.41287,0.46735,0.33074,1.27256,1.38256,1.21016,0.0010989,0.0010989,0.0010989
9,2362.01,1.25209,1.3764,1.22539,0.67733,0.47304,0.50552,0.35565,1.28995,1.36878,1.20529,0.00105174,0.00105174,0.00105174
10,2623.94,1.25259,1.3609,1.22928,0.7718,0.46214,0.52184,0.36652,1.26776,1.36622,1.20369,0.00100459,0.00100459,0.00100459
11,2884.71,1.24927,1.35466,1.21385,0.7251,0.46811,0.51526,0.36103,1.26244,1.31055,1.20358,0.00095743,0.00095743,0.00095743
12,3147.91,1.24218,1.3545,1.22172,0.73259,0.44606,0.50765,0.35694,1.25606,1.3562,1.20556,0.000910273,0.000910273,0.000910273
13,3412.21,1.20155,1.2802,1.20097,0.79624,0.45037,0.53139,0.37784,1.20174,1.24942,1.16369,0.000863116,0.000863116,0.000863116
14,3675.17,1.20241,1.27108,1.20872,0.74548,0.48746,0.54088,0.38619,1.18558,1.23818,1.14333,0.000815959,0.000815959,0.000815959
15,3937.15,1.17873,1.26459,1.20187,0.7756,0.46971,0.53753,0.39299,1.17615,1.23353,1.1377,0.000768802,0.000768802,0.000768802
16,4199.44,1.14221,1.20599,1.17542,0.75148,0.49849,0.54395,0.38566,1.15752,1.19255,1.14628,0.000721645,0.000721645,0.000721645
17,4462.32,1.18226,1.24935,1.18119,0.79135,0.47906,0.53843,0.38645,1.17234,1.21907,1.14005,0.000674488,0.000674488,0.000674488
18,4724.42,1.12882,1.18565,1.15659,0.78403,0.50542,0.56488,0.40931,1.13214,1.12938,1.11648,0.000627331,0.000627331,0.000627331
19,4986.67,1.10823,1.15284,1.16057,0.7978,0.51348,0.57727,0.42477,1.11529,1.13759,1.11493,0.000580174,0.000580174,0.000580174
20,5250.35,1.08346,1.11603,1.1319,0.77592,0.51922,0.57693,0.4231,1.10842,1.10365,1.09592,0.000533017,0.000533017,0.000533017
21,5509.61,1.13117,1.15464,1.17468,0.78279,0.5303,0.58681,0.41983,1.12288,1.10519,1.1123,0.00048586,0.00048586,0.00048586
22,5769.18,1.08063,1.09566,1.12632,0.80022,0.52235,0.59117,0.43609,1.07299,1.07605,1.09033,0.000438703,0.000438703,0.000438703
23,6028.47,1.09272,1.10547,1.13795,0.83437,0.51893,0.59863,0.43931,1.07713,1.0537,1.07446,0.000391546,0.000391546,0.000391546
24,6286.52,1.06681,1.05094,1.11787,0.79034,0.53195,0.59857,0.44199,1.06295,1.03457,1.0712,0.000344389,0.000344389,0.000344389
25,6544.62,1.03996,1.01963,1.11079,0.83463,0.51148,0.60465,0.44902,1.0382,1.00786,1.06301,0.000297232,0.000297232,0.000297232
26,6804.95,1.0306,1.01539,1.10736,0.80969,0.54198,0.61861,0.45532,1.02132,0.99367,1.05717,0.000250075,0.000250075,0.000250075
27,7063.92,0.98794,0.96012,1.08771,0.80961,0.55999,0.62226,0.46305,1.0208,0.9656,1.05468,0.000202918,0.000202918,0.000202918
28,7322.96,1.02018,0.98509,1.10991,0.82253,0.55891,0.62728,0.46995,0.99171,0.94237,1.04071,0.000155761,0.000155761,0.000155761
29,7580.56,0.99127,0.95947,1.09213,0.80777,0.56301,0.63239,0.4742,0.97709,0.93365,1.03571,0.000108604,0.000108604,0.000108604
30,7838.22,0.97309,0.9329,1.07893,0.81182,0.56883,0.6345,0.47854,0.97013,0.92013,1.02892,6.1447e-05,6.1447e-05,6.1447e-05
